"Year" "Month" "County" "Count"
2013 7 "Los Angeles" 223
2013 8 "Los Angeles" 196
2013 9 "Los Angeles" 184
2013 10 "Los Angeles" 214
2013 11 "Los Angeles" 248
2013 12 "Los Angeles" 256
2013 1 "Orange" 110
2013 2 "Orange" 120
2013 3 "Orange" 97
2013 4 "Orange" 93
2013 5 "Orange" 72
2013 6 "Orange" 73
2013 7 "Orange" 74
2013 8 "Orange" 64
2013 9 "Orange" 86
2013 10 "Orange" 78
2013 11 "Orange" 68
2013 12 "Orange" 88
2013 1 "Riverside" 110
2013 2 "Riverside" 107
2013 3 "Riverside" 88
2013 4 "Riverside" 87
2013 5 "Riverside" 67
2013 6 "Riverside" 68
2013 7 "Riverside" 79
2013 8 "Riverside" 88
2013 9 "Riverside" 70
2013 10 "Riverside" 79
2013 11 "Riverside" 71
2013 12 "Riverside" 84
2013 1 "Sacramento" 78
2013 2 "Sacramento" 65
2013 3 "Sacramento" 73
2013 4 "Sacramento" 51
2013 5 "Sacramento" 56
2013 6 "Sacramento" 47
2013 7 "Sacramento" 39
2013 8 "Sacramento" 37
2013 9 "Sacramento" 41
2013 10 "Sacramento" 55
2013 11 "Sacramento" 44
2013 12 "Sacramento" 55
2013 1 "San Bernardino" 87
2013 2 "San Bernardino" 90
2013 3 "San Bernardino" 95
2013 4 "San Bernardino" 67
2013 5 "San Bernardino" 74
2013 6 "San Bernardino" 56
2013 7 "San Bernardino" 70
2013 8 "San Bernardino" 71
2013 9 "San Bernardino" 68
2013 10 "San Bernardino" 73
2013 11 "San Bernardino" 77
2013 12 "San Bernardino" 91
2013 1 "San Diego" 123
2013 2 "San Diego" 112
2013 3 "San Diego" 119
2013 4 "San Diego" 100
2013 5 "San Diego" 89
2013 6 "San Diego" 74
